year,mileage,brand,model,price,age,price_per_year,mileage_per_year
2009,26209,MG,Luxury,813371,16,50835.69,1638.06
2019,198757,Kia,Compact SUV,464669,6,77444.83,33126.17
2014,91538,Mahindra,MPV,2404756,11,218614.18,8321.64
2021,92919,Hyundai,Hatchback,2963701,4,740925.25,23229.75
2001,122685,Kia,Compact SUV,1575669,24,65652.88,5111.88
2020,191562,Kia,SUV,1413686,5,282737.2,38312.4
2012,38881,Toyota,Sedan,2789639,13,214587.62,2990.85
2002,139134,MG,SUV,2656539,23,115501.7,6049.3
2003,121195,Tata,Hatchback,834597,22,37936.23,5508.86
2001,85886,Tata,SUV,2499461,24,104144.21,3578.58
2012,195875,Maruti Suzuki,SUV,3423057,13,263312.08,15067.31
2017,43755,Maruti Suzuki,Hatchback,1156983,8,144622.88,5469.38
2020,159885,Maruti Suzuki,SUV,2305324,5,461064.8,31977.0
2013,108626,Tata,Hatchback,2441089,12,203424.08,9052.17
2013,154787,Kia,Compact SUV,2016399,12,168033.25,12898.92
2006,56597,Maruti Suzuki,Sedan,1845599,19,97136.79,2978.79
2017,125755,Toyota,SUV,1388691,8,173586.38,15719.38
2017,132701,Mahindra,SUV,746457,8,93307.12,16587.62
2019,192261,Tata,Sedan,742422,6,123737.0,32043.5
2018,95308,Hyundai,Hatchback,366326,7,52332.29,13615.43
2007,149316,Hyundai,SUV,2790186,18,155010.33,8295.33
2008,104579,MG,Luxury,418967,17,24645.12,6151.71
2002,193541,Mahindra,SUV,1444937,23,62823.35,8414.83
2001,97450,Honda,Hatchback,3983479,24,165978.29,4060.42
2000,199222,Maruti Suzuki,Hatchback,1265380,25,50615.2,7968.88
2016,108914,Maruti Suzuki,Hatchback,3345326,9,371702.89,12101.56
2016,105996,Kia,SUV,624036,9,69337.33,11777.33
2009,42821,Tata,SUV,3095678,16,193479.88,2676.31
2017,129239,Toyota,Sedan,3203718,8,400464.75,16154.88
2015,76900,Toyota,MPV,322647,10,32264.7,7690.0
2022,136818,Tata,SUV,2283190,3,761063.33,45606.0
2002,135718,Maruti Suzuki,Sedan,3491251,23,151793.52,5900.78
2021,194214,Tata,SUV,1407179,4,351794.75,48553.5
2014,98707,MG,SUV,2373505,11,215773.18,8973.36
2017,175090,Maruti Suzuki,SUV,3926302,8,490787.75,21886.25
2021,107934,Honda,Hatchback,3321355,4,830338.75,26983.5
2015,196959,Toyota,SUV,3428392,10,342839.2,19695.9
2006,195071,Honda,Sedan,1344992,19,70789.05,10266.89
2004,61169,Mahindra,SUV,1593962,21,75902.95,2912.81
2018,22386,Toyota,SUV,2220388,7,317198.29,3198.0
2021,68556,Toyota,SUV,795552,4,198888.0,17139.0
2009,188421,Maruti Suzuki,Sedan,3372623,16,210788.94,11776.31
2021,172236,Maruti Suzuki,Sedan,2813354,4,703338.5,43059.0
2019,139257,Honda,Hatchback,3482995,6,580499.17,23209.5
2006,114995,Hyundai,Sedan,1677343,19,88281.21,6052.37
2021,190456,MG,SUV,1467634,4,366908.5,47614.0
2000,68345,Honda,Sedan,790653,25,31626.12,2733.8
2015,197999,Hyundai,Hatchback,2251016,10,225101.6,19799.9
2009,167769,MG,SUV,2222143,16,138883.94,10485.56
2021,153656,Hyundai,Sedan,2394711,4,598677.75,38414.0
2000,169818,Toyota,MPV,434909,25,17396.36,6792.72
2015,161048,Kia,SUV,3178336,10,317833.6,16104.8
2015,75775,Toyota,Sedan,2988937,10,298893.7,7577.5
2009,153953,Honda,Hatchback,3275001,16,204687.56,9622.06
2005,150513,Maruti Suzuki,Sedan,2271934,20,113596.7,7525.65
2006,91102,Tata,SUV,2170811,19,114253.21,4794.84
2016,101001,Honda,Sedan,628920,9,69880.0,11222.33
2011,116935,Toyota,SUV,3714886,14,265349.0,8352.5
2018,49393,Hyundai,Hatchback,3135077,7,447868.14,7056.14
2002,149310,Honda,Sedan,2564896,23,111517.22,6491.74
2018,89850,Toyota,SUV,3198299,7,456899.86,12835.71
2009,47431,MG,Luxury,2451087,16,153192.94,2964.44
2013,60601,Mahindra,MPV,3136570,12,261380.83,5050.08
2005,94274,Honda,Sedan,3971991,20,198599.55,4713.7
2015,145449,Mahindra,MPV,1876432,10,187643.2,14544.9
2012,165767,Honda,Sedan,1351929,13,103994.54,12751.31
2020,68486,Hyundai,SUV,2042551,5,408510.2,13697.2
2006,127833,Kia,SUV,363856,19,19150.32,6728.05
2004,94769,Honda,Sedan,876336,21,41730.29,4512.81
2002,165522,Maruti Suzuki,SUV,400852,23,17428.35,7196.61
2013,70918,MG,Luxury,3439661,12,286638.42,5909.83
2016,95316,MG,SUV,2881388,9,320154.22,10590.67
2012,194029,Toyota,MPV,851238,13,65479.85,14925.31
2014,156781,MG,SUV,2089515,11,189955.91,14252.82
2007,27947,Honda,Hatchback,2507958,18,139331.0,1552.61
2013,195976,Hyundai,Hatchback,2648909,12,220742.42,16331.33
2008,154815,Toyota,MPV,3078512,17,181088.94,9106.76
2002,29058,Toyota,SUV,1972243,23,85749.7,1263.39
2006,189955,Hyundai,SUV,3721756,19,195881.89,9997.63
2012,163174,Kia,Compact SUV,2227659,13,171358.38,12551.85
2006,161980,Honda,Hatchback,2290289,19,120541.53,8525.26
2019,57292,MG,SUV,3317561,6,552926.83,9548.67
2015,20778,Toyota,MPV,1743264,10,174326.4,2077.8
2018,157886,Hyundai,Sedan,328254,7,46893.43,22555.14
2020,166577,Kia,Compact SUV,2469129,5,493825.8,33315.4
2010,72917,Kia,SUV,1068389,15,71225.93,4861.13
2011,55698,Honda,Sedan,3809048,14,272074.86,3978.43
2005,163577,Honda,Hatchback,1729240,20,86462.0,8178.85
2022,80948,Hyundai,Hatchback,2031129,3,677043.0,26982.67
2020,121969,Mahindra,SUV,1709960,5,341992.0,24393.8
2010,144902,Maruti Suzuki,Sedan,1327757,15,88517.13,9660.13
2021,128847,Tata,SUV,1593538,4,398384.5,32211.75
2022,173898,Hyundai,Sedan,3136179,3,1045393.0,57966.0
2016,92965,Tata,SUV,3095090,9,343898.89,10329.44
2017,47653,Mahindra,MPV,3846222,8,480777.75,5956.62
2011,131562,MG,SUV,3123202,14,223085.86,9397.29
2022,22079,Honda,Sedan,2494171,3,831390.33,7359.67
2006,174062,Hyundai,Sedan,2621216,19,137958.74,9161.16
2012,127833,MG,SUV,997360,13,76720.0,9833.31
2005,151049,Tata,Sedan,3084356,20,154217.8,7552.45
2015,155840,Toyota,MPV,3989571,10,398957.1,15584.0
2014,150719,Mahindra,MPV,3642832,11,331166.55,13701.73
2009,32889,Kia,Compact SUV,2307659,16,144228.69,2055.56
2004,42021,Maruti Suzuki,SUV,3202935,21,152520.71,2001.0
2018,52696,Mahindra,MPV,1002844,7,143263.43,7528.0
2020,138389,Maruti Suzuki,Sedan,1559353,5,311870.6,27677.8
2020,186531,Toyota,SUV,2635260,5,527052.0,37306.2
2015,66692,Hyundai,SUV,645971,10,64597.1,6669.2
2020,159636,Honda,Sedan,1485591,5,297118.2,31927.2
2020,144301,Kia,SUV,972698,5,194539.6,28860.2
2001,49862,Maruti Suzuki,Hatchback,506147,24,21089.46,2077.58
2014,154391,Toyota,MPV,3065018,11,278638.0,14035.55
2013,169656,Maruti Suzuki,Hatchback,310931,12,25910.92,14138.0
2010,71398,Hyundai,Hatchback,962144,15,64142.93,4759.87
2014,30160,Maruti Suzuki,SUV,1823594,11,165781.27,2741.82
2020,167229,Toyota,MPV,2712304,5,542460.8,33445.8
2010,76264,Kia,SUV,3688430,15,245895.33,5084.27
2006,110466,Toyota,Sedan,2219584,19,116820.21,5814.0
2000,63673,Hyundai,SUV,918933,25,36757.32,2546.92
2008,89058,MG,Luxury,1497474,17,88086.71,5238.71
2019,35658,Honda,Sedan,3827316,6,637886.0,5943.0
2016,23503,Mahindra,SUV,2897508,9,321945.33,2611.44
2018,188476,Tata,Sedan,2642311,7,377473.0,26925.14
2001,185776,Hyundai,Sedan,1502415,24,62600.62,7740.67
2000,179998,Mahindra,MPV,2647062,25,105882.48,7199.92
2000,78042,Mahindra,MPV,643344,25,25733.76,3121.68
